tenure,MonthlyCharges,TotalCharges,Gender,SeniorCitizen,Partner,Dependents,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,Churn
52,43.467062204605114,5262.417436904644,Female,1,Yes,No,Yes,DSL,Two year,No,Mailed check,0
15,102.08715794259226,7188.920776273766,Male,1,Yes,No,No,Fiber optic,One year,Yes,Mailed check,0
61,21.8426348962325,3206.9589385729137,Female,1,Yes,No,Yes,Fiber optic,One year,Yes,Electronic check,0
21,108.17619921354235,2626.475342156779,Male,0,No,Yes,No,No,Month-to-month,No,Bank transfer,1
24,64.1477464624734,104.29406957613718,Female,1,No,No,Yes,Fiber optic,Two year,Yes,Electronic check,0
3,81.72014768082803,6615.530674196268,Male,0,No,No,Yes,DSL,Month-to-month,No,Credit card,1
22,83.93539222057827,6411.427950619658,Male,0,No,No,No,No,One year,Yes,Credit card,0
53,107.51177407065364,851.7559634754083,Female,0,No,No,Yes,DSL,Month-to-month,No,Electronic check,1
2,81.66696821672073,4622.475616201214,Female,0,Yes,No,No,No,One year,No,Bank transfer,1
30,79.39335847600617,3721.501914768095,Female,0,No,Yes,No,No,Two year,No,Mailed check,0
38,24.665204056068994,965.5360003537277,Female,1,No,Yes,Yes,DSL,Two year,Yes,Credit card,0
2,69.8408021945204,7844.8955883986955,Female,1,Yes,Yes,Yes,Fiber optic,One year,No,Credit card,0
64,33.016900081704165,1731.7025737325032,Male,0,No,Yes,No,Fiber optic,Two year,Yes,Electronic check,0
60,91.74337687214856,554.663225482859,Female,1,Yes,Yes,No,Fiber optic,One year,No,Credit card,0
21,69.22219208126745,4766.071783184242,Female,1,No,No,No,Fiber optic,Month-to-month,No,Credit card,0
33,86.02277792083532,5915.633816875867,Female,0,Yes,Yes,Yes,DSL,One year,No,Mailed check,0
58,22.16729006023843,276.96358634864634,Male,0,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,0
22,26.47920160458032,5275.884192319091,Female,1,No,No,Yes,DSL,One year,Yes,Bank transfer,0
49,89.63233880626822,4266.753753844509,Female,1,No,Yes,Yes,Fiber optic,Two year,Yes,Credit card,0
59,25.208433599867337,842.2613008406364,Female,1,Yes,Yes,No,Fiber optic,One year,No,Bank transfer,0
42,25.12567277652586,1395.085585785862,Male,1,Yes,Yes,No,DSL,One year,Yes,Bank transfer,0
60,19.210847523488745,4551.570841176955,Male,0,Yes,Yes,Yes,No,One year,Yes,Mailed check,0
15,113.65013982994802,2383.5264710630677,Female,1,Yes,No,Yes,DSL,Two year,No,Mailed check,0
62,91.75083594590069,7507.636146094805,Male,0,Yes,No,Yes,DSL,One year,No,Electronic check,0
62,53.32514085020642,6553.184511741693,Female,0,Yes,Yes,Yes,DSL,Two year,Yes,Mailed check,0
47,47.653558128765525,7868.833442392059,Male,1,Yes,No,No,No,One year,Yes,Bank transfer,0
62,52.97032297458495,2090.6926365022046,Female,1,No,Yes,Yes,DSL,Month-to-month,Yes,Credit card,0
51,95.46535311811819,7758.334036993452,Male,1,Yes,No,No,DSL,One year,No,Bank transfer,0
55,84.13706110704143,3460.108748676215,Female,0,No,No,No,Fiber optic,Month-to-month,No,Bank transfer,1
64,36.51955678674679,2791.8950241943894,Female,0,No,No,No,DSL,Two year,No,Bank transfer,0
3,35.41093353340844,419.88992426937756,Male,0,Yes,No,Yes,Fiber optic,Two year,No,Mailed check,0
51,27.839564971339733,439.1722882353481,Female,0,Yes,No,Yes,Fiber optic,One year,No,Bank transfer,0
7,84.03027197013381,5541.633844966198,Female,1,No,No,No,Fiber optic,Two year,Yes,Electronic check,0
21,94.43726622217359,3673.1892335724106,Female,0,Yes,No,No,No,One year,Yes,Credit card,0
39,44.5046428325004,1826.0956190201957,Female,0,Yes,No,No,Fiber optic,Two year,Yes,Mailed check,0
18,20.09449610309128,4918.710985088007,Male,1,No,No,No,DSL,Month-to-month,No,Bank transfer,1
4,26.217166747642736,2036.3134998723874,Female,0,No,No,Yes,DSL,Two year,No,Electronic check,0
60,114.78600348450304,4628.656663177181,Male,0,No,No,No,Fiber optic,Month-to-month,Yes,Credit card,1
14,47.54447774774202,2885.2042184158345,Male,1,Yes,Yes,Yes,Fiber optic,One year,Yes,Bank transfer,0
9,94.92231478381336,6591.59387281554,Male,0,Yes,No,Yes,DSL,One year,Yes,Credit card,0
53,80.46635688542638,6568.7967552404325,Male,0,No,Yes,Yes,Fiber optic,One year,No,Mailed check,0
2,56.19396396528959,3828.2108778130073,Female,0,Yes,No,Yes,No,Month-to-month,No,Mailed check,1
60,38.568726219555515,2818.2381307120945,Female,0,No,Yes,No,Fiber optic,One year,No,Electronic check,0
71,30.138641815940645,2911.9522961346925,Male,1,Yes,Yes,Yes,No,One year,No,Mailed check,0
44,79.50129680388666,6449.213343883715,Female,0,No,Yes,No,No,Month-to-month,No,Electronic check,1
8,95.4633780637788,2637.528631690539,Male,1,Yes,No,Yes,No,Two year,Yes,Bank transfer,1
47,82.39042535411306,1686.711920928045,Female,0,No,No,No,Fiber optic,One year,Yes,Credit card,0
35,71.03021332491583,693.9823448486991,Female,1,Yes,No,No,No,Two year,No,Mailed check,0
36,22.195122343163625,3743.1444908993476,Female,1,Yes,No,No,No,Two year,No,Credit card,0
50,114.84887775943838,3866.378413578178,Male,1,No,Yes,No,Fiber optic,One year,Yes,Credit card,0
4,97.87141916545745,6730.133326436005,Male,0,Yes,No,No,No,One year,No,Bank transfer,0
